
 CHARACTERS IN INTEGER FIELD    =   7
 OUTPUT DISPLAY TYPE            =   E 
 CHARACTERS PER OUTPUT FIELD    =  15
 CHARACTERS AFTER DECIMAL POINT =   5
 LINES PER PAGE                 =1740
 CHARACTERS PER LINE            = 140

 PRINT S    NODAL SOLUTION PER NODE

 *** WARNING ***                         CP =       0.641   TIME= 00:06:05
 The selected element set contains stiffness types (such as SURF154 )    
  which are not valid for error estimation.                              

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.2     18.2     ***
 DISTRIBUTED ANSYS Academic Teaching Introductory              

 01055371  VERSION=WINDOWS x64   00:06:05  FEB 19, 2018 CP=      0.641

 Simple Cube--Static Structural (A5)                                           


 
  ***** POST1 NODAL STRESS LISTING *****                                       
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
     166   -0.15595E+000  -0.37672E+000  -0.14636E+000   0.10561E-001   0.19233E-001  -0.37374E-002
     167   -0.17255E+000  -0.45006E+000  -0.16920E+000   0.72061E-001   0.59720E-001   0.37126E-003
     168   -0.14398E+000  -0.36745E+000  -0.13384E+000  -0.13195E-001  -0.22448E-001  -0.56850E-003
     169   -0.14445E+000  -0.38058E+000  -0.14987E+000  -0.23233E-001  -0.30621E-001   0.11053E-002
     170   -0.15252E+000  -0.41939E+000  -0.15970E+000   0.67039E-001  -0.16467E-001   0.67476E-002
     171   -0.13481E+000  -0.38935E+000  -0.14364E+000   0.22112E-001  -0.18376E-001   0.16561E-002
     172   -0.16460E+000  -0.46827E+000  -0.16229E+000   0.73504E-001  -0.81644E-001   0.15647E-002
     173   -0.14469E+000  -0.42639E+000  -0.14417E+000   0.36694E-001   0.60372E-001  -0.20686E-002
     174   -0.15641E+000  -0.42491E+000  -0.14632E+000   0.61928E-002   0.72540E-001   0.24046E-003
     175    0.86641E-002  -0.40080E+000   0.84931E-002   0.72877E-004   0.40272E-003  -0.52403E-004
     176    0.60605E-002  -0.40146E+000   0.80316E-002   0.13578E-002  -0.54815E-003  -0.45482E-003
     177    0.49099E-002  -0.40045E+000   0.20190E-002   0.16511E-002   0.19060E-002   0.14165E-003
     178    0.54168E-002  -0.40032E+000   0.71723E-002  -0.16440E-002  -0.86582E-003  -0.27551E-003
     179    0.75204E-002  -0.40107E+000   0.64944E-002  -0.19151E-003   0.12800E-002   0.18606E-004
     180    0.43473E-002  -0.40048E+000   0.64561E-002  -0.17603E-002   0.11215E-002  -0.20592E-003
     181    0.76759E-002  -0.40120E+000   0.45331E-002  -0.11721E-002  -0.19612E-002  -0.56228E-003
     182    0.56299E-002  -0.39980E+000   0.48155E-002   0.13759E-002  -0.18335E-002  -0.25222E-003
     183    0.24587E-002  -0.39961E+000   0.45966E-002   0.14354E-002   0.11656E-002   0.14537E-003
     184    0.59007E-002  -0.40065E+000   0.73391E-002   0.12278E-002   0.86598E-003  -0.56174E-004
     185    0.51901E-002  -0.40019E+000   0.36406E-002  -0.16056E-002   0.17124E-002  -0.18277E-003
     186    0.24579E-002  -0.40039E+000   0.68139E-002   0.14997E-002   0.86328E-003  -0.37155E-003
     187    0.23582E-002  -0.40006E+000   0.70745E-002  -0.12905E-002  -0.10372E-003  -0.27299E-003
     188    0.22668E-002  -0.40021E+000   0.56140E-002   0.18196E-002  -0.14278E-002  -0.22093E-003
     189    0.64415E-002  -0.40086E+000   0.29423E-002  -0.34992E-003   0.16279E-002   0.13187E-004
     190    0.85485E-002  -0.40151E+000   0.79293E-002   0.45884E-003  -0.13718E-002  -0.34848E-003
     191    0.15257E-002  -0.39924E+000   0.21267E-002   0.12671E-002  -0.13616E-002  -0.23371E-003
     192    0.18686E-002  -0.39944E+000   0.18419E-002   0.13027E-002   0.10613E-002   0.19596E-003
     193    0.75554E-002  -0.40033E+000   0.41174E-002   0.65173E-003  -0.22065E-002  -0.32028E-003
     194    0.16955E-002  -0.39896E+000   0.41447E-002  -0.16656E-002   0.17649E-002  -0.17919E-003
     195    0.21788E-002  -0.40005E+000   0.53227E-002  -0.12175E-002  -0.11866E-002  -0.66170E-004
     196    0.83774E-002  -0.40149E+000   0.86417E-002  -0.79453E-003   0.93842E-004   0.78952E-004
     197    0.49918E-002  -0.39991E+000   0.47129E-002  -0.18081E-002  -0.18232E-002  -0.20081E-003
     198    0.56419E-002  -0.40100E+000   0.82200E-002  -0.16686E-002   0.15047E-003  -0.13705E-003
     199    0.66983E-002  -0.39996E+000   0.14611E-002   0.98718E-003  -0.11572E-002  -0.31751E-003
